time,wind_speed,outdoor_temp,vane_position,rotor_speed_rpm,pitch_angle,turbine_altitude,blade_length,swept_area,wind_power,,,,,,,,
1/27/2015 5:50,5.8099999,1.3200001,-13.99,11.54,-0.99000001,96,35,3846.5,0.185579166,,,,,,,,
1/27/2015 19:20,5.0500002,2.3,0.31,11.02,-0.99000001,96,35,3846.5,0.121863888,,,,,,,,
1/27/2015 21:20,5.5999999,2.3299999,-14.94,10.75,-0.99000001,96,35,3846.5,0.166174699,,,,,,,,
1/27/2015 22:40,4.6599998,2.3,-3.27,9.9200001,-0.99000001,96,35,3846.5,0.095754356,,,,,,,,
1/28/2015 0:00,5.3299999,2.0799999,-13.24,10.43,-0.99000001,96,35,3846.5,0.143278969,,,,,,,,
1/28/2015 5:30,6.5799999,2.0999999,-9.5100002,13.74,-0.99000001,96,35,3846.5,0.269574312,,,,,,,,
1/28/2015 7:00,6.8400002,2.21,-3,15.43,-0.99000001,96,35,3846.5,0.302809285,,,,,,,,
1/28/2015 13:40,10.99,3.49,3.9400001,17.15,0.77999997,96,35,3846.5,1.256012383,,,,,,,,
1/28/2015 20:50,12.09,3.27,4.1300001,17.15,2.27,96,35,3846.5,1.672167377,,,,,,,,
1/29/2015 0:10,7.52,2.6900001,-4.73,16.389999,-0.99000001,96,35,3846.5,0.402396658,,,,,,,,
1/29/2015 1:40,7.1199999,2.21,-2.97,16.17,-0.99000001,96,35,3846.5,0.341539396,,,,,,,,
1/29/2015 6:30,9.8100004,1.91,-6.8400002,17.120001,-0.94999999,96,35,3846.5,0.893321773,,,,,,,,
1/29/2015 11:00,10.03,2.5999999,-3.8900001,17.15,-0.88999999,96,35,3846.5,0.954780725,,,,,,,,
1/29/2015 12:20,9.7700005,2.53,-3.72,17.129999,-0.89999998,96,35,3846.5,0.882438813,,,,,,,,
1/29/2015 13:10,10.44,2.29,-1.42,17.15,-0.75,96,35,3846.5,1.076718909,,,,,,,,
1/29/2015 17:40,8.3599997,1.48,-1.17,16.969999,-0.99000001,96,35,3846.5,0.552865678,,,,,,,,
1/29/2015 19:20,10.84,1.53,-1.84,17.139999,-0.5,96,35,3846.5,1.205282055,,,,,,,,
1/29/2015 21:00,8.5,1.26,0.47999999,17.030001,-0.99000001,96,35,3846.5,0.581109026,,,,,,,,
1/30/2015 3:10,8.9700003,-0.99000001,-0.25,16.950001,-0.91000003,96,35,3846.5,0.682933185,,,,,,,,
1/31/2015 0:00,6.6199999,0.34,5.23,15.17,-0.99000001,96,35,3846.5,0.274520507,,,,,,,,
1/31/2015 2:50,8,0.1,-8.1400003,16.450001,-0.99000001,96,35,3846.5,0.484474368,,,,,,,,
1/31/2015 13:30,6.21,1.87,-6.25,11.36,-0.99000001,96,35,3846.5,0.226608212,,,,,,,,
1/31/2015 19:50,7.3400002,1.1799999,5.3899999,16.610001,-0.99000001,96,35,3846.5,0.374187314,,,,,,,,
1/31/2015 22:10,7.2800002,-0.1,-1.0700001,16.030001,-0.99000001,96,35,3846.5,0.365085864,,,,,,,,
1/1/2015 0:00,6.3499999,0.76999998,-16.389999,12.8,-0.99000001,96,40,5024,0.316450578,,,,,,,,
1/1/2015 2:40,3.5,-1.14,13.62,9.2299995,-0.14,96,40,5024,0.052989384,,,,,,,,
1/1/2015 8:00,1.3,-0.82999998,19.799999,0.01,90,96,40,5024,0.002715281,,,,,,,,
